date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:22:48	100656/100656	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20May%202018%2016:22:44%20GMT	https://themes.tielabs.com/sahifa/product-tag/album/?demo=framed&add-to-cart=391	C:/xampp/htdocs/beritaindonesia/template/berita%20indonesia/themes.tielabs.com/sahifa/product-tag/album/index3a46.html	(from https://themes.tielabs.com/sahifa/product-tag/album/?demo=framed)
23:22:49	100658/100658	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20May%202018%2016:22:45%20GMT	https://themes.tielabs.com/sahifa/product-tag/album/?demo=boxed&add-to-cart=388	C:/xampp/htdocs/beritaindonesia/template/berita%20indonesia/themes.tielabs.com/sahifa/product-tag/album/index5e14.html	(from https://themes.tielabs.com/sahifa/product-tag/album/?demo=boxed)
23:22:49	100658/100658	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20May%202018%2016:22:45%20GMT	https://themes.tielabs.com/sahifa/product-tag/album/?demo=boxed&add-to-cart=391	C:/xampp/htdocs/beritaindonesia/template/berita%20indonesia/themes.tielabs.com/sahifa/product-tag/album/index7426.html	(from https://themes.tielabs.com/sahifa/product-tag/album/?demo=boxed)
23:22:52	100656/100656	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20May%202018%2016:22:48%20GMT	https://themes.tielabs.com/sahifa/product-tag/album/?demo=wide&add-to-cart=388	C:/xampp/htdocs/beritaindonesia/template/berita%20indonesia/themes.tielabs.com/sahifa/product-tag/album/index1418.html	(from https://themes.tielabs.com/sahifa/product-tag/album/?demo=wide)
23:22:52	100656/100656	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20May%202018%2016:22:48%20GMT	https://themes.tielabs.com/sahifa/product-tag/album/?demo=wide&add-to-cart=391	C:/xampp/htdocs/beritaindonesia/template/berita%20indonesia/themes.tielabs.com/sahifa/product-tag/album/index2a8c.html	(from https://themes.tielabs.com/sahifa/product-tag/album/?demo=wide)
23:22:53	101803/101803	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20May%202018%2016:22:49%20GMT	https://themes.tielabs.com/sahifa/product-tag/cap/?demo=dark&add-to-cart=384	C:/xampp/htdocs/beritaindonesia/template/berita%20indonesia/themes.tielabs.com/sahifa/product-tag/cap/index61ff.html	(from https://themes.tielabs.com/sahifa/product-tag/cap/?demo=dark)
23:22:54	101803/101803	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20May%202018%2016:22:50%20GMT	https://themes.tielabs.com/sahifa/product-tag/cap/?demo=dark&add-to-cart=387	C:/xampp/htdocs/beritaindonesia/template/berita%20indonesia/themes.tielabs.com/sahifa/product-tag/cap/index4381.html	(from https://themes.tielabs.com/sahifa/product-tag/cap/?demo=dark)
23:22:56	101797/101797	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20May%202018%2016:22:52%20GMT	https://themes.tielabs.com/sahifa/product-tag/cap/?demo=framed&add-to-cart=384	C:/xampp/htdocs/beritaindonesia/template/berita%20indonesia/themes.tielabs.com/sahifa/product-tag/cap/index1357.html	(from https://themes.tielabs.com/sahifa/product-tag/cap/?demo=framed)
23:22:57	101798/101798	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20May%202018%2016:22:52%20GMT	https://themes.tielabs.com/sahifa/product-tag/cap/?demo=framed&add-to-cart=387	C:/xampp/htdocs/beritaindonesia/template/berita%20indonesia/themes.tielabs.com/sahifa/product-tag/cap/indexff6d.html	(from https://themes.tielabs.com/sahifa/product-tag/cap/?demo=framed)
23:22:57	101797/101797	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20May%202018%2016:22:53%20GMT	https://themes.tielabs.com/sahifa/product-tag/cap/?demo=boxed&add-to-cart=384	C:/xampp/htdocs/beritaindonesia/template/berita%20indonesia/themes.tielabs.com/sahifa/product-tag/cap/indexe93b.html	(from https://themes.tielabs.com/sahifa/product-tag/cap/?demo=boxed)
